Name,Image Url,Description,Cuisine,Course,Diet,Prep Time,Ingredients,Instructions
Kelyachi Bhaji Recipe (Raw Banana Stir Fry),https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Raksha_Kamat/Kelyachi_Bhaji__Raw_Banana_Stir_Fry.jpg,Kelyachi Bhaji also known as the Kacche Kele Ki Subzi or Raw Banana Stir Fry is a simple yet healthy and delicious recipe that you can make for a quick dinner or even pack into your lunch box. The addition of coconut and onions gives this recipe a twist to the regular raw banana recipes we eat. Serve the Kelyachi Bhaji (Raw Banana Stir Fry) as a side dish for your lunches and dinners. Serve it along with your favorite Sambar along with rice and ghee to make the meal complete.,Goan Recipes,Lunch,Vegetarian,Total in 30 M,"2 Raw Banana 

							 		1 Onion							 		, finely chopped							 	

							 		2 tablespoons Fresh coconut							 		, grated							 	

							 		1 teaspoon Turmeric powder (Haldi) 

							 		1 teaspoon Red Chilli powder 

							 		1/4 teaspoon Asafoetida (hing) 

Salt							 		, to taste							 	

Oil							 		, as needed","To begin making the Kelyachi Bhaji Recipe (Raw Banana Stir Fry), first wash the raw banana, apply little oil to your hands and peel the banana using a peeler and cut the banana into dices. By applying oil in your hands, the stickiness from the raw banana will not come onto your hands.Heat a tablespoon of oil in a heavy bottomed wok/ kadai on medium heat. Add the onions and cook them until soft. Once the onions have softened, add the raw banana, sprinkle some salt and water. Cover the pan and cook on low to medium heat until the bananas have cooked through. Once the bananas have cooked through, add the turmeric powder, chilli powder, asafoetida powder and the grated coconut. Stir well for another 3 to 4 minutes until all the ingredients get well incorporated into the sabzi.Once done, turn off the heat and transfer to a serving bowl.Serve the Kelyachi Bhaji (Raw Banana Stir Fry) as a side dish for your lunches and dinners. Serve it along with your favorite Sambar along with rice and ghee to make the meal complete."
Mangalorean Style Sonay Sukka Recipe - Dry Chickpea Stir Fry ,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Mangalorean_Style_Sonay_SukheSukka_Recipe_Dry_Chickpea_Stir_Fry_Recipe.jpg,"Mangalorean Style Sonay Sukhe is a very important dish for every Mangalorean meal plate. The preparation starts by tempering the mustard seeds, curry leaves, onion and garlic which is called as “Sukka”. It is used in most of the south Indian language in regions like Konkani, Karnataka and Mangalore.  You can as well use the same method in this recipe for many other legumes such as black channa, black eyed peas etc.",Mangalorean,Lunch,Vegetarian,Total in 55 M,"1 cup Kabuli Chana (White Chickpeas)							 		, soaked in water overnight and boile							 	

							 		1 teaspoon Mustard seeds (Rai/ Kadugu) 

							 		1 sprig Curry leaves 

							 		4 Cloves (Laung)							 		, finely chopped							 	

							 		1 Onion							 		, chopped							 	

							 		1/4 cup Fresh coconut							 		, grated							 	

							 		1/4 cup Tamarind Water 

Oil							 		, for cooking							 	

Salt							 		, to taste 							 	
Bafat Powder (Roast & Grind)

							 		3 Byadagi Dried Chillies 

							 		1 tablespoon Coriander (Dhania) Seeds 

							 		1 teaspoon Cumin seeds (Jeera) 

							 		1 teaspoon Whole Black Peppercorns 

							 		1 teaspoon Turmeric powder (Haldi)","To begin making the Mangalorean Style Sonay Sukhe, soak the chickpeas in water for at least 8 hours or overnight. Pressure cook the chickpeas with water so that it is fully immersed and cook till done. This will take about 25 minutes. Once done switch off the heat and leave it to rest, the pressure will be released by itself. Drain the water away and keep the chickpeas aside.In a small pan; roast the ingredients for the Bafat powder including byadagi red chillies, coriander seeds, cumin seeds, whole black peppercorns, turmeric powder until you get a good roasted aroma from the coriander seeds. Turn off the heat, cool and grind into a fine powder.Heat a kadai with oil, add mustard seeds and allow it to crackle, add curry leaves and wait for 5 seconds.Add the chopped onions, grated coconut and garlic, sauté till the onions are brown. Add bafat powder mix to the sautéed onions and mix well.Once the spice powder is added, add the cooked chickpea along with the tamarind water and keep sautéing till the water is evaporated and you will get a dry dish.  Check the salt and seasonings and adjust to suit your taste.Serve the Mangalorean Style Sonay Sukhe along with Kori Gassi and Neer Dosa as your sunday meal for your family."
Konkani Style Vengaya Sagle Recipe - Eggplant Drumstick Curry ,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Konkani_Style_Vengaya_Sagle_Recipe_Eggplant_and_Drumstick_Curry_Recipe_.jpg,"Konkani Style Vengaya Sagle Recipe is a very famous dish among the Konkani. “Sagle” in konkan means anything that is made with ground masala like coconut, coriander seeds and urad dal.  It has a very spicy and sweet flavor to it.  You can add any choice of your vegetable to this dish, keeping the ground masala constant.",Konkan,Lunch,Vegetarian,Total in 35 M,"1 Drumstick							 		, cut into 2 inch long							 	

							 		4 Brinjal (Baingan / Eggplant) 

							 		1 teaspoon Mustard seeds (Rai/ Kadugu) 

							 		1 teaspoon Urad Dal Flour 

Salt							 		, to taste							 	

Oil 
To grind

							 		4 tablespoon Fresh coconut 

							 		4 Dry Red Chillies 

							 		1 tablespoon Coriander (Dhania) Seeds 

							 		1 tablespoon White Urad Dal (Split) 

							 		18 grams Tamarind 

							 		1 tablespoon Jaggery","To begin making the Konkani Style Vengaya Sagle Recipe, firstly pressure cook the drumstick in about 1/4 cup water, salt and little turmeric powder for about 2 whistle. Allow the pressure to release naturally and set aside. Then heat a skillet, roast the coriander seeds and urad dal till it is golden brown. Once they have roasted well and allow it to cool down.In a mixer add in the roasted ingredients and the rest of the ingredients (fresh coconut, dry red chillies, tamarind & Jaggery). Add a little water and grind it into a smooth paste.Heat the same skillet, add oil, and splutter the mustard seeds and urad dal on low heat. Then add in the ground paste saute for about 2 minutes.Add chopped brinjal and sprinkle with salt and saute for at least 5 more minutes until they soften. Add in the boiled drumstick and give it good mix. Check for seasoning and garnish with some coriander leaves and serve warm. Serve the Konkani Style Vengaya Sagle Recipe along with Goan Chana Ros Recipe (White Peas Curry) and Neer Dosa to make it a complete meal. "
Matar Millet Pulao Recipe - Peas Pulao Recipe,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Matar_Millet_Paulo_Recipe_Peas_Paulo_Recipe.jpg,"Matar Millet Pulao Recipe (Peas Pulao Recipe) is a healthy way of including millet into your everyday diet. The pear millet commonly called as Bajra in the local Indian Language is rich in protein, fiber, magnesium and Iron. Adding peas to the preparation will create a better flavor and texture to the whole dish. It is quick and easy to make at any time of the day.",North Indian Recipes,Lunch,Vegetarian,Total in 30 M,"1 cup Bajra Flour ( Pearl Millet)							 		, soaked in water for 30 minutes							 	

							 		1 cup Green peas (Matar) 

							 		2 Cardamom (Elaichi) Pods/Seeds 

							 		1 inch Cinnamon Stick (Dalchini) 

							 		1 Bay leaf (tej patta) 

							 		2 teaspoons Cumin seeds (Jeera) 

Salt							 		, to taste							 	

Ghee							 		, for cooking","To begin making the Matar Millet Pulao Recipe (Peas Pulao Recipe), pressure cook the millet with 1-1/2 cups of water in a pressure cooker for about 2 whistles till they are just cooked.Heat a heavy bottomed pan with ghee. Once the ghee is hot, add the whole spice like cardamom pods, cinnamon sticks, bay leaf, cumin seeds and allow them to splutter.Once done, add the cooked millets and mix everything properly. After a minute, add salt, mix it again and switch off the heat. Next, heat a saucepan with enough water for the peas to blanch. Once the water starts to boil, add the peas and cook for 30 seconds and drain the water.Sprinkle peas over the tossed millet, give it a stir and serve hot.Serve the Matar Millet Pulao Recipe (Peas Pulao Recipe) along with Boondi Raita and a roasted papad for a weekday dinner and you are sorted."
Tamil Nadu Style Potato Masiyal Recipe (South Indian Style Aloo Masala),https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Uma_Raghuraman/Tamilnadu_Style_Poori_Masal__South_Indian_Aloo_Masala_for_Poori_1600.jpg,Potato Masal and Poori/Puri (puffed Indian flatbread) are match made in heaven. It is one of the most popular and favourite tiffin combination especially in the South. The potatoes are soft boiled and then simmered in an open pan/kadai along with the South Indian Masalas. Potatoes are delicious and are universally loved by children and adults.,Tamil Nadu,Lunch,Vegetarian,Total in 70 M,"4 Potatoes (Aloo)							 		, boiled, peeled and roughly crumbled							 	

							 		1 Onion							 		, thinly sliced							 	

							 		4 Green Chillies							 		, finely chopped							 	

							 		1/2 inch Ginger							 		, grated							 	

							 		2 cloves Garlic							 		, grated							 	

							 		5-6 Cashew nuts							 		, roughly chopped							 	

							 		1 teaspoon Gram flour (besan) 

							 		1/4 teaspoon Turmeric powder (Haldi) 

Salt							 		, to taste							 	

							 		Few sprig Coriander (Dhania) Leaves							 		, finely chopped							 	
For tempering

							 		2 teaspoons Sesame (Gingelly) Oil 

							 		1/2 teaspoon Mustard seeds (Rai/ Kadugu) 

							 		1/4 teaspoon Chana dal (Bengal Gram Dal) 

							 		1 sprig Curry leaves","To begin making the Tamil Nadu Style Potato Masal recipe, first heat a kadai/wok over low flame with oil.When the oil is hot, temper with mustard seeds, channa dal and curry leaves.Add the ginger, garlic, green chillies, cashew nuts and mix well over low flame.Immediately, add the thinly sliced onions, turmeric powder, pinch of salt and cook till they turn transparent.Meanwhile, mix besan/gram flour with 1/4 cup water in a mixing bowl. Add 1/2 cup water to the kadai and adjust salt.Now add the besan mixture. Let the mixture cook for 5 minutes over low flame.Add the crumbled potatoes and allow it to cook over low flame for another 7-8 minutes, stirring occasionally.Switch off, garnish with coriander leaves and it is ready to be served.You can include Tamil Nadu Style Potato Masal with hot Puri in your special weekend menu or pack them for your office/school lunch box. Either ways, they are tempting and yummy!"
Gajar Methi Sabzi Recipe (Carrot Fenugreek Leaves Stir Fry),https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Jyothi_Rajesh/Carrot_Methi_Sabzi.jpg,"Indian Stir fry vegetables are not just easy to make but they are packed with loads of flavour and makes a delicious and healthy side dish for roti or rice. This sabzi is a unique side dish which has a perfect blend of spice, sweet (from the carrots), and a tad bitter (from methi leaves). The secret to making a delicious sabzi is use of fresh ingredients. Fresh carrots, and fresh methi leaves (fenugreek leaves) does the trick to this sabzi as well.",Indian,Lunch,Vegetarian,Total in 40 M,"2 Carrots (Gajjar) 

							 		1 cup Methi Leaves (Fenugreek Leaves)							 		, tightly packed							 	

							 		1 Onion							 		, finely chopped							 	

							 		1 teaspoon Cumin seeds (Jeera) 

Asafoetida (hing)							 		, A pinch							 	

							 		1 teaspoon Red Chilli powder 

							 		1-1/2 teaspoon Coriander Powder (Dhania) 

							 		1/2 teaspoon Turmeric powder (Haldi) 

							 		1 teaspoon Amchur (Dry Mango Powder) 

Salt							 		, to taste							 	

							 		2 tablespoons Oil","To begin making the Gajar Methi Sabzi recipe, firstly peel, wash and chop the carrots into small pieces.Pick the methi leaves from stem and wash the leaves well. Chop the methi leaves fine.Heat oil in a wok/kadai. Add cumin seeds to hot oil and wait till it turns brown. Add asafoetida, mix.Add finely chopped onions and sauté till onions turn soft and translucent.Add coriander powder, red chilli powder, turmeric powder, salt to taste and give it good mix.Now add chopped carrots, mix and cook until for 5 minutes on medium flame.Add1/4 cup water and continue to cook the carrots. When carrots are half done, add finely chopped methi leaves.Cook until all vegetables are cooked, keep stirring in between.When all water evaporates and carrots turn tender, sprinkle amchur powder and 1 more teaspoon oil over the vegetables and stir well.Cook for 2 minutes on low flame, remove the pan from stove and serve hot. Serve Gajar Methi Sabzi with Curd Rice or Phulkas and Panchmel Dal for a percent weekday lunch or dinner."
Bendekayi Puli Koddel Recipe - Lady Finger In Coconut Tamarind Curry,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2019/Bendekayi_Puli_Koddel_-_Ladys_Finger_In_Coconut_Tamarind_Curry_8_1600.jpg,"Bendekayi Puli Koddel Recipe is a simple yet delectable lady's finger curry cooked in freshly made coconut masala. It is spicy, sweet and tangy which makes it a perfect accompaniment with Steamed Rice. It is usually prepared using Ash Gourd or Pumpkin, however here we will be cooking with Okras/Bhindi/Lady Finger to give it a crunchy texture.",Mangalorean,Side Dish,Vegetarian,Total in 30 M,"200 grams Bhindi (Lady Finger/Okra)							 		, cut into 1 inch							 	

Salt							 		, to taste							 	

							 		2 teaspoons Oil 
Ingredients for the masala

							 		1/2 cup Fresh coconut							 		, grated							 	

							 		1/2 teaspoon Methi Seeds (Fenugreek Seeds) 

							 		1 teaspoon Cumin seeds (Jeera) 

							 		6 Dry Red Chillies 

							 		2 teaspoon Coriander (Dhania) Seeds 

							 		2 tablespoons Sesame seeds (Til seeds) 

							 		2 teaspoons Rice 

							 		4 cloves Garlic 

							 		30 grams Tamarind Water 

							 		1/4 teaspoon Turmeric powder (Haldi) 

							 		2 tablespoons Jaggery 

							 		1/2 cup Water 
For seasoning

							 		1 teaspoon Oil 

							 		1/2 teaspoon Mustard seeds (Rai/ Kadugu) 

							 		1/4 teaspoon SSP Asafoetida (Hing) 

							 		2 Dry Red Chillies 

							 		2 sprig Curry leaves","To begin making the Bendekayi Puli Koddel Recipe, into a preheated pan, add oil and okra or Bendekayi. Sprinkle salt to taste and stir well. Cover and cook the okras till soft and roasted. Stir occasionally to ensure even cooking of the Okra.Now we will roast the masalas for the Bendekayi Puli Koddel.Into a preheated pan, add fenugreek seeds, cumin seeds, coriander seeds, sesame seeds, rice grains, dry red chillies, garlic and stir for 3 to 4 minutes until well roasted.Once done, add the coconut and roast for another 2 minutes. Turn off the heat after the coconut is light golden in color and allow it to cool. Once the coconut cools down, add the roasted masala to a mixer grinder along with tamarind, jaggery, water and blend to make a smooth paste and keep it aside.Add the ground masala into the pan with the roasted lady's finger. Add about 1/2 cup of water, salt to taste and bring the Bendekayi Puli Koddel to a brisk boil. Boil for 4 to 5 minutes until the curry has thickened and reached the desired consistency. Once done, switch off the gas.*For the seasoning:Heat oil in a tadka pan. Add mustard seeds and allow it to crackle. Once the mustard seeds have crackled, add asafoetida, dry red chillies and curry leaves. Turn off the heat after few seconds and pour the seasoning over the Bendekayi Puli Koddel. Give it a mix.Transfer the Bendekayi Puli Koddel into a serving bowl and serve.Serve the Bendekayi Puli Koddel Recipe along with Steamed Rice, Mangalorean Padengi Gassi and Elai Vadam for a comforting lunch."
Tomato Kurma Recipe - Thakkali Kurma For Biryani & Parotta,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/Tomato_Kurma_Recipe_-_Thakkali_Kurma_Perfect_For_Biryani_and_Parotta-1.jpg,"Tomato Kurma Recipe is a delicious gravy recipe that is prepared with ingredients that are found in every South Indian Kitchen. A ground masala of coconut, fried gram dal, green chillies and fennel are added to a flavourful tomato onion gravy and garnished with chopped coriander leaves.",South Indian Recipes,Lunch,Vegetarian,Total in 30 M,"2 Onions							 		, finely chopped							 	

							 		4 Tomatoes							 		, finely chopped							 	

							 		1 inch Cinnamon Stick (Dalchini) 

							 		1 teaspoon Cumin seeds (Jeera) 

							 		2 Star anise 

							 		2 tablespoons Sambar Powder 

Salt							 		, as per your taste							 	

							 		2 teaspoons Ghee 
To grind

							 		2 tablespoons Roasted Gram Dal (Pottukadalai) 

							 		3 tablespoons Fresh coconut							 		, grated							 	

							 		3 Green Chillies 

							 		1 tablespoon Fennel seeds (Saunf) 

							 		1 tablespoon Water","To begin making Tomato Kurma Recipe, we will first grind all the ingredients needs for the Kurma paste.In a mixer combine, add roasted gram dal, fresh grated coconut, green chillies, fennel seeds and a tablespoon of water. Grind the ingredients until you get a smooth paste. Keep aside for later.Next, place a heavy bottomed pan on medium heat and add 2 teaspoons of ghee. Once the ghee is warm, add cumin seeds and allow it to sizzle.When the cumin seeds are sizzling, add the star anise, cinnamon and saute it for about 30 to 35 seconds.Add the chopped onions and stir until they are caramelized. Next, add the chopped tomatoes along with sambar powder and saute until the tomatoes are soft and mushy. Once the tomatoes are mushy, add the ground kurma paste, salt to taste and simmer the flame to low.  Add 1/4 cup water, stir and close the lid of the pan. Let the tomato kurma simmer for 5 minutes. After 5 minutes, open the lid of the pan, give it a good stir and turn off the flame. Garnish it with coriander leaves and it is ready to be served.Serve Tomato Kurma Recipe along with Vegetable Biryani and Tomato Onion Cucumber Raita. You can also serve Tomato Kurma along with Kerala Style Parotta for a weeknight dinner. "
Karwar NKGSB style Vataane Ananasaa Shaak Recipe- Pineapple & Whites Peas Sabzi ,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/panditp253-gmail.com/Vataane_Ananasaa_Shaak.jpg,"Karwar NKGSB style Vataane Ananasaa Shaak Recipe- Pineapple & Whites Peas Sabzi is a delicious gravy from the NKGSB cuisine is the, Vataane Ananasaa Shaak Recipe, which is a Sweet And Sour White Peas And Pineapple Sabzi. Safed Vataane refer to dried white peas and ananas means pineapple.",Karnataka,Main Course,Vegetarian,Total in 55 M,"3 cups Pineapple							 		, Chopped into chunks after discarding the middle portion and the tiny thorns that appear on the sides.							 	

							 		1/2 cup Dried Yellow/White Peas (Vatana) 

							 		1 Onion							 		, finely chopped							 	

							 		1/2 teaspoon Turmeric powder (Haldi) 

							 		1 1/2 tablespoons Jaggery 

Salt							 		, to taste							 	

							 		1 tablespoon Oil 

							 		1 teaspoon Mustard seeds (Rai/ Kadugu) 

							 		1/4 teaspoon Asafoetida (hing) 
For the paste :

							 		1 1/2 tablespoons Coriander (Dhania) Seeds 

							 		4 Dry Red Chillies 

							 		1/2 teaspoon Oil 

							 		3/4 cup Fresh coconut							 		, grated","To make Vataane Ananasaa Shaak Recipe, we need to first wash and soak the white peas overnight. Next morning wash them thoroughly and keep aside.  In a pressure cooker add the drained white peas along with 1/2 cup of water, pressure cook for 3 whistles and then reduce the flame and cook for about 2-3 minutes. Turn off the flame. Drain the white peas and set aside. "
Mutta Salna Recipe (South Indian Style Egg Drop Gravy),https://www.archanaskitchen.com/images/archanaskitchen/1-Author/swathynandhini/MUTTA_SALNA_RECIPE_1600.jpg,"Mutta Salna is a South Indian gravy that is served for parotta or chapathi. I always like the salna given for parotta in small Street side shops. It is very tasty and goes well for idli, dosa, idiyappam, chapathi or parotta. Make this and we are sure you will make it again and again.",South Indian Recipes,Lunch,Eggetarian,Total in 35 M,"5 Whole Eggs 

							 		1 Onion 

							 		1 Tomato 

							 		1 tablespoon Ginger Garlic Paste 

							 		1 teaspoon Cumin seeds (Jeera) 

Turmeric powder (Haldi)							 		, a pinch							 	

							 		1/2 teaspoon Red Chilli powder 

							 		1 teaspoon Coriander Powder (Dhania) 

							 		1 teaspoon Garam masala powder 

Salt							 		, as required							 	

							 		2 teaspoons Oil 

							 		1 Bay leaf (tej patta) 
For grinding

							 		1 Onion 

							 		6 cloves Garlic 

Mint Leaves (Pudina)							 		, handful							 	

							 		1/4 cup Fresh coconut 

							 		1 teaspoon Coriander (Dhania) Seeds 

							 		1/2 inch Cinnamon Stick (Dalchini) 

							 		5 Cloves (Laung) 

							 		1/2 teaspoon Fennel seeds (Saunf) 

							 		1/2 teaspoon Whole Black Peppercorns 

							 		2 Star anise 

							 		2 teaspoons Oil","To begin making the Mutta Salna recipe, let us first make the masala. Heat oil in a heavy bottomed pan, add fennel seeds, pepper, cinnamon, cloves and star anise. Let it cook for a minute.Add garlic and saute until it changes color. Add onion and saute until it turns translucent. Switch off and add mint leaves.Saute and allow it to cool. Once cooled, transfer everything to a mixie jar. Add coconut and coriander seeds to it. Add little water and grind into paste. Keep aside.Heat oil in a heavy bottomed pan, add bay leaves and cumin seeds. Then add chopped onion and saute well.Add ginger garlic paste and saute until the raw smell goes. Add tomato and saute until it turns mushy.Now add the ground masala along with required water for the gravy. Mix and cook in a medium flame.Add turmeric powder, chilli powder, coriander powder, garam masala powder and required salt.Mix well and cook until the oil separates. Now add the eggs and mix well. You can also add eggs that are  beaten in a separate bowl.Cover and cook in low flame for few minutes until the eggs gets cooked and the gravy becomes thick. The mutta salna is ready. Serve Mutta Salna along with Kerala Parotta and Carrot Methi Pachadi for your weekday lunch"
Paneer Gassi Recipe ,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl-archanaskitchen.com/Paneer_Gassi_Recipe_.jpg,"Paneer Gassi Recipe is a delicious coconut and red chilli based curry from the coastal region of Mangalore. Traditionally the curry is made with chicken. This curry has a lovely blend of different fragrant spices, which is quite unique to Mangalore's cultural heritage. Mangalore cuisine is mostly influenced by Tulu speaking Bunts, the Kannada speaking Brahmins, Konkani speaking Catholics and Goud Saraswat Brahmins to name a few.",Mangalorean,Lunch,High Protein Vegetarian,Total in 45 M,"For Kori Gassi Masala Paste

							 		1 Onion							 		, roughly chopped							 	

							 		10 cloves Garlic 

							 		12 Byadagi Dried Chillies							 		, or you can use 6 to 8 kashmiri chillies and 6 small red chillies)							 	

							 		1 tablespoon Coriander (Dhania) Seeds 

							 		1 teaspoon Cumin seeds (Jeera) 

							 		1/4 teaspoon Methi Seeds (Fenugreek Seeds) 

							 		15 Whole Black Peppercorns 

Tamarind							 		, lemon sized							 	

							 		1 cup Fresh coconut							 		, grated							 	

							 		1 tablespoon Ghee 
For the curry

							 		500 grams Paneer (Homemade Cottage Cheese)							 		, cut into cubes							 	

							 		1 Onion							 		, finely sliced							 	

Salt							 		, to taste							 	

							 		1/2 teaspoon Turmeric powder (Haldi) 

							 		1 cup Coconut milk							 		, thick							 	

							 		1 cup Coconut milk							 		, thin							 	
For tempering:

							 		1 tablespoon Ghee 

							 		1 inch Cinnamon Stick (Dalchini) 

							 		3 Cloves (Laung) 

							 		2 Cardamom (Elaichi) Pods/Seeds 

							 		2 Curry leaves","To begin making the Paneer Gassi Recipe, soak the ball of tamarind in hot water for 10 minutes.In a heavy bottomed pan add 1 teaspoon ghee. Roast coriander seeds, cumin seeds, fenugreek seeds, dried red chillies, pepper corns one by one until fragrant. Be careful to roast on a low flame so as not to burn the spices. Once roasted remove from pan and set aside to cool.In the same pan, add sliced onions, garlic and roast until onions start to turn brown. Now add freshly grated coconut and continue to roast until coconut starts to turn golden brown. Remove from pan and set it aside.Squeeze out the water from the tamarind and throw away the seeds. Once all the roasted spices and the onion-coconut mix has cooled, add them all to a blender and blend into a smooth paste along with the tamarind water.Now add remaining ghee/ coconut oil to the pan. Add cinnamon, cardamoms, cloves and saute until fragrant. Add sliced onions and sauté for a minute. Add curry leaves, mix well.Add the ground masala paste along with turmeric and cook until oil/ghee separates from the sides of the pan.Afte a minute, add the ground masala paste along with turmeric and cook until oil/ghee separates from the sides of the pan.Add the paneer pieces and give it a good mix so that the paneer is coated uniformly with the masala. Continue stirring for 5 minutes. Now add thin coconut milk and salt to taste, bring it to boil.Reduce flame to medium, cover and cook until well done. Once the chicken is cooked well, add thick coconut milk, reduce to simmer. Cook for a minute or two and turn off the flame. Do not let the curry come to boil as the milk might curdle.Serve the Paneer Gassi Recipe along with neer dosa, Tomato Onion Chutney to create a delicious breakfast meal. "
Satsaagi Recipe - Sindhi Seven Vegetable Sabzi No Onion No Garlic ,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/Articles/Sindhi_Satsagi_Recipe_Mixed_Sabzi_With_7_Vegetables_3_1600.jpg,Satsaagi Recipe is a super nutritious sabzi that is made in almost all Sindhi households. ,Sindhi,Side Dish,Vegetarian,Total in 50 M,"2 Carrot (Gajjar)							 		, diced							 	

							 		10 Green beans (French Beans)							 		, cut into 1 inch							 	

							 		10 Colocasia root (Arbi)							 		, small ones							 	

							 		1/4 cup Green peas (Matar) 

							 		2 Potatoes (Aloo)							 		, diced							 	

							 		1/3 cup Bottle gourd (lauki)							 		, diced							 	

							 		1/4 cup Green Bell Pepper (Capsicum)							 		, diced							 	

Oil							 		, to fry							 	

							 		1 tablespoon Ghee 

							 		1/2 teaspoon Cumin seeds (Jeera) 

							 		1 Asafoetida (hing)							 		, a pinch							 	

							 		2 Green Chillies							 		, slit							 	

							 		2 teaspoons Ginger							 		, finely chopped							 	

							 		1/2 teaspoon Turmeric powder (Haldi) 

							 		1 teaspoon Red Chilli powder 

							 		1 teaspoon Cumin powder (Jeera) 

							 		1 teaspoon Amchur (Dry Mango Powder) 

							 		1 teaspoon Garam masala powder 

							 		1 teaspoon Coriander (Dhania) Leaves 

							 		1/4 cup Homemade tomato puree 

							 		2 sprig Coriander (Dhania) Leaves							 		, finely chopped							 	

							 		2 sprig Mint Leaves (Pudina)							 		, finely chopped","To begin making the Satsaagi Recipe we need to cook the vegetables. In a pressure cooker combine the peas, carrot, beans and lauki with some salt and 1/4 cup of water and pressure cook for one whistle. Turn off the flame and immediately release the pressure. Transfer the vegetables into a strainer and drain off the excess water. Set aside to cool. In the same pressure cooker yet add the washed whole arbi, add some water and pressure cook for about 4 whistles. Turn off the flame and allow the pressure to release naturally. Once the pressure has released, open the lid, drain off the excess water. Peel the arbi and set aside. Heat a kadai with oil, to deep fry the rest of the vegetables. Firstly, deep fry the potatoes, until they turn into a light brown colour. This will take about 3-5 minutes. Once cooked place the potatoes on an absorbent paper to drain off the excess oil. Next, deep fry the boil arbi, until they turn into a light brown colour. This will take about 3-5 minutes. Once cooked place the arbi on an absorbent paper to drain off the excess oil.Finally, deep fry the capsicum until crunchy. This will take about 2-4 minutes. Once cooked place the capsicum on an absorbent paper to drain off the excess oil.Getting ahead to bring the Satsaagi together. Heat a skillet with ghee on medium flame, to this add the cumin seeds, asafoetida, ginger and green chilli and mix well. Now add the salt and turmeric powder and allow it to cook for about 30 seconds. To this add, the potatoes, arbi, capsicum, and mix. At this stage add the boiled veggies, carrot, beans, peas, and lauki. Now sprinkle some red chilli powder, cumin powder, amchur powder, garam masala, coriander powder  and mix well until the vegetables are evenly coated with the masala. Finally top this satsaagi sabzi with tomato puree, mix and cover and cook for 2 minutes.Open the lid, turn off the flame, add the chopped mint and coriander leaves and transfer the satsagi into a serving platter. Serve Satsaagi Recipe along with Phulka, Sindhi Dal, Aam Ka Achaar, for a comforting complete lunch meal."
Mulakushyam Recipe - A Mixed Vegetable Lentil Curry,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Sandhya_Hariharan/Molagooshyam__A_Mixed_Vegetable_Lentil_Curry1.jpg,"Mulakushyam is an easy recipe from the Palakkad Cuisine. It is a dish comprising of the combination of lentils, essentially Moong Dal cooked along with vegetables with a drizzle of coconut oil to add a Palakad touch to the recipe.",Kerala Recipes,Side Dish,High Protein Vegetarian,Total in 48 M,"1/2 cup Yellow Moong Dal (Split) 

							 		1 Chayote							 		, peeled and diced							 	

							 		1 Potato (Aloo)							 		, peeled and diced							 	

							 		2 Carrot (Gajjar)							 		, peeled and diced							 	

							 		1/4 cup Green peas (Matar) 

							 		2 Green Chillies							 		, slit							 	

							 		1 teaspoon Turmeric powder (Haldi) 

Salt							 		, to taste							 	

Curry leaves							 		, a sprig							 	

							 		1/4 teaspoon Black pepper powder 

							 		1 tablespoon Coconut Oil","To begin making the Mulakushyam Recipe - A Mixed Vegetable Lentil Curry, first prepare the vegetables by peeling and cutting them. Wash the dal and keep aside.We will now cook everything a single pot, by either using a pressure cooker or using a sauce pan method. If using the sauce pan method, follow the same instructions as below and cook until the dal is soft and cooked through.Place the washed dal, the chopped vegetable, slit green chillies into the pressure cooker. Add the turmeric,salt and about 2 cups of water. Place the weight on and pressure cook until you hear two whistles. After 2 whistles, turn the heat to low and simmer for a couple of minutes and turn off the heat.Allow the pressure to release naturally. Once the pressure has released, add the curry leaves, the coconut oil, salt and pepper to taste. Stir and give the Mulakushyama brisk boil. Turn off the heat and transfer to a serving bowl.Serve the Mulakushyam along with Steamed Rice , Elai Vadam and Pisarna Manga Recipe for a quick and wholesome weeknight dinner."
